neighbourhood,room_type,minimum_nights,availability_365,price
THIRD WARD,Entire home/apt,28,221,70.0
SIXTH WARD,Entire home/apt,2,355,86.0
SECOND WARD,Entire home/apt,2,14,64.0
SIXTH WARD,Entire home/apt,2,276,85.0
SIXTH WARD,Entire home/apt,1,279,85.0
SECOND WARD,Private room,1,243,56.0
FOURTEENTH WARD,Private room,1,163,47.0
FIFTEENTH WARD,Entire home/apt,1,348,191.0
ELEVENTH WARD,Private room,15,365,55.0
SIXTH WARD,Private room,5,340,59.0
FIFTEENTH WARD,Entire home/apt,2,349,219.0
TENTH WARD,Private room,18,365,45.0
FIFTEENTH WARD,Entire home/apt,1,355,185.0
NINTH WARD,Private room,2,113,59.0
FOURTEENTH WARD,Private room,1,354,60.0
TENTH WARD,Private room,18,244,41.0
FIFTEENTH WARD,Entire home/apt,1,365,555.0
NINTH WARD,Private room,1,257,70.0
FOURTH WARD,Entire home/apt,2,87,148.0
FOURTEENTH WARD,Entire home/apt,4,327,290.0
FIFTEENTH WARD,Entire home/apt,1,360,156.0
SEVENTH WARD,Entire home/apt,2,353,112.0
NINTH WARD,Entire home/apt,2,306,92.0
THIRTEENTH WARD,Private room,18,341,36.0
NINTH WARD,Entire home/apt,2,295,89.0
FIFTEENTH WARD,Entire home/apt,4,365,766.0
TENTH WARD,Entire home/apt,3,357,68.0
ELEVENTH WARD,Private room,18,324,27.0
ELEVENTH WARD,Private room,20,344,35.0
NINTH WARD,Private room,2,349,59.0
NINTH WARD,Private room,2,320,59.0
SIXTH WARD,Entire home/apt,1,168,104.0
SIXTH WARD,Entire home/apt,2,339,81.0
NINTH WARD,Private room,2,339,59.0
EIGHTH WARD,Entire home/apt,3,179,250.0
SIXTH WARD,Private room,1,364,115.0
NINTH WARD,Private room,1,233,51.0
SECOND WARD,Entire home/apt,1,330,79.0
SECOND WARD,Entire home/apt,1,347,63.0
FOURTH WARD,Private room,1,166,71.0
SIXTH WARD,Entire home/apt,2,321,86.0
NINTH WARD,Private room,2,287,54.0
EIGHTH WARD,Private room,1,9,57.0
FOURTH WARD,Private room,3,269,104.0
SECOND WARD,Entire home/apt,1,354,102.0
SECOND WARD,Entire home/apt,1,342,102.0
SECOND WARD,Entire home/apt,1,22,125.0
SEVENTH WARD,Private room,1,237,54.0
SECOND WARD,Entire home/apt,2,22,90.0
EIGHTH WARD,Private room,1,257,58.0
SIXTH WARD,Entire home/apt,2,300,183.0
NINTH WARD,Entire home/apt,5,365,79.0
THIRTEENTH WARD,Entire home/apt,3,338,93.0
FOURTH WARD,Entire home/apt,1,345,124.0
SIXTH WARD,Entire home/apt,30,128,97.0
SIXTH WARD,Entire home/apt,7,365,89.0
SECOND WARD,Entire home/apt,3,160,205.0
NINTH WARD,Entire home/apt,70,365,160.0
FIRST WARD,Entire home/apt,1,143,102.0
SECOND WARD,Entire home/apt,2,38,171.0
SIXTH WARD,Entire home/apt,2,357,166.0
TENTH WARD,Entire home/apt,1,36,181.0
SIXTH WARD,Entire home/apt,1,342,110.0
SIXTH WARD,Entire home/apt,1,360,117.0
EIGHTH WARD,Entire home/apt,13,364,145.0
FOURTEENTH WARD,Entire home/apt,1,342,134.0
SECOND WARD,Entire home/apt,1,46,105.0
NINTH WARD,Entire home/apt,2,243,79.0
SECOND WARD,Entire home/apt,1,48,108.0
SECOND WARD,Entire home/apt,1,348,108.0
SECOND WARD,Entire home/apt,1,54,118.0
NINTH WARD,Entire home/apt,1,332,152.0
THIRTEENTH WARD,Entire home/apt,3,233,90.0
SIXTH WARD,Entire home/apt,1,339,86.0
FOURTEENTH WARD,Entire home/apt,3,357,79.0
THIRTEENTH WARD,Private room,1,84,101.0
THIRD WARD,Entire home/apt,2,192,113.0
THIRTEENTH WARD,Entire home/apt,14,346,160.0
THIRD WARD,Entire home/apt,2,238,115.0
TENTH WARD,Entire home/apt,1,181,192.0
THIRD WARD,Entire home/apt,1,185,119.0
NINTH WARD,Private room,2,317,45.0
THIRTEENTH WARD,Entire home/apt,1,342,310.0
SIXTH WARD,Entire home/apt,2,174,117.0
THIRTEENTH WARD,Entire home/apt,30,204,97.0
SIXTH WARD,Entire home/apt,2,154,84.0
FOURTH WARD,Entire home/apt,1,54,104.0
ELEVENTH WARD,Entire home/apt,2,320,104.0
SIXTH WARD,Entire home/apt,3,365,99.0
FOURTH WARD,Entire home/apt,1,55,136.0
THIRD WARD,Entire home/apt,1,154,74.0
TENTH WARD,Entire home/apt,7,171,132.0
THIRD WARD,Entire home/apt,4,253,100.0
FOURTH WARD,Entire home/apt,1,50,100.0
THIRD WARD,Entire home/apt,2,364,90.0
FIRST WARD,Entire home/apt,3,173,97.0
SIXTH WARD,Entire home/apt,1,68,80.0
SIXTH WARD,Entire home/apt,2,359,94.0
NINTH WARD,Entire home/apt,2,243,186.0
THIRTEENTH WARD,Entire home/apt,2,24,107.0
TENTH WARD,Entire home/apt,2,260,564.0
THIRTEENTH WARD,Entire home/apt,2,55,124.0
FOURTH WARD,Entire home/apt,1,364,104.0
SIXTH WARD,Entire home/apt,1,346,119.0
SECOND WARD,Entire home/apt,2,0,94.0
FOURTEENTH WARD,Entire home/apt,1,191,262.0
SIXTH WARD,Entire home/apt,1,359,99.0
FOURTH WARD,Entire home/apt,1,46,136.0
FIFTEENTH WARD,Entire home/apt,1,350,176.0
TENTH WARD,Entire home/apt,1,309,101.0
SIXTH WARD,Entire home/apt,1,223,117.0
SIXTH WARD,Entire home/apt,1,356,107.0
SIXTH WARD,Entire home/apt,1,313,137.0
SIXTH WARD,Entire home/apt,1,98,184.0
NINTH WARD,Entire home/apt,3,265,98.0
TENTH WARD,Entire home/apt,3,365,100.0
NINTH WARD,Entire home/apt,6,363,68.0
SECOND WARD,Entire home/apt,13,349,118.0
THIRTEENTH WARD,Private room,1,87,114.0
SIXTH WARD,Entire home/apt,1,356,99.0
SECOND WARD,Entire home/apt,13,317,174.0
FOURTEENTH WARD,Entire home/apt,1,342,1078.0
THIRD WARD,Private room,3,88,62.0
SECOND WARD,Entire home/apt,1,357,99.0
SECOND WARD,Entire home/apt,14,235,92.0
FIRST WARD,Entire home/apt,7,349,140.0
FIRST WARD,Entire home/apt,14,340,126.0
SIXTH WARD,Entire home/apt,2,170,111.0
FOURTEENTH WARD,Private room,1,87,61.0
FOURTEENTH WARD,Private room,1,79,60.0
SECOND WARD,Entire home/apt,1,310,141.0
SECOND WARD,Entire home/apt,1,129,157.0
SIXTH WARD,Entire home/apt,1,346,80.0
ELEVENTH WARD,Entire home/apt,31,129,104.0
SECOND WARD,Entire home/apt,30,269,216.0
THIRTEENTH WARD,Entire home/apt,3,56,156.0
THIRTEENTH WARD,Entire home/apt,2,156,92.0
SECOND WARD,Entire home/apt,13,270,109.0
